Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_vnn', k=20, lr=0.001, model='eqcnn', model_path=None, momentum=0.9, no_cuda=False, num_points=1024, pooling='mean', rot='z', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 0, loss: 3.687454, train acc: 0.098331, train avg acc: 0.038803
Test 0, loss: 3.747019, test acc: 0.085494, test avg acc: 0.052750
Train 1, loss: 3.319908, train acc: 0.173147, train avg acc: 0.072409
Test 1, loss: 3.203392, test acc: 0.182334, test avg acc: 0.113517
Train 2, loss: 3.189497, train acc: 0.216612, train avg acc: 0.102951
Test 2, loss: 3.203571, test acc: 0.202593, test avg acc: 0.132000
Train 3, loss: 3.121288, train acc: 0.239108, train avg acc: 0.119266
Test 3, loss: 3.232341, test acc: 0.196110, test avg acc: 0.130936
Train 4, loss: 3.076767, train acc: 0.257736, train avg acc: 0.135524
Test 4, loss: 3.070366, test acc: 0.223258, test avg acc: 0.138872
Train 5, loss: 3.031003, train acc: 0.274735, train avg acc: 0.146899
Test 5, loss: 3.073611, test acc: 0.209076, test avg acc: 0.138407
Train 6, loss: 2.954879, train acc: 0.304662, train avg acc: 0.170250
Test 6, loss: 3.246940, test acc: 0.133306, test avg acc: 0.094291
Train 7, loss: 2.884225, train acc: 0.332146, train avg acc: 0.191902
Test 7, loss: 2.727457, test acc: 0.357374, test avg acc: 0.251250
Train 8, loss: 2.824182, train acc: 0.355863, train avg acc: 0.211335
Test 8, loss: 2.866130, test acc: 0.297812, test avg acc: 0.210070
Train 9, loss: 2.757277, train acc: 0.385077, train avg acc: 0.234067
Test 9, loss: 2.844526, test acc: 0.331037, test avg acc: 0.222186
Train 10, loss: 2.690662, train acc: 0.408082, train avg acc: 0.253942
Test 10, loss: 2.742406, test acc: 0.371556, test avg acc: 0.301616
Train 11, loss: 2.617453, train acc: 0.432410, train avg acc: 0.279695
Test 11, loss: 2.617944, test acc: 0.416532, test avg acc: 0.305645
Train 12, loss: 2.584144, train acc: 0.456433, train avg acc: 0.311988
Test 12, loss: 2.614699, test acc: 0.432739, test avg acc: 0.325953
Train 13, loss: 2.522253, train acc: 0.485342, train avg acc: 0.338513
Test 13, loss: 2.701532, test acc: 0.403566, test avg acc: 0.317419
Train 14, loss: 2.488519, train acc: 0.498982, train avg acc: 0.361516
Test 14, loss: 2.317261, test acc: 0.561183, test avg acc: 0.442913
Train 15, loss: 2.452098, train acc: 0.517712, train avg acc: 0.371468
Test 15, loss: 2.416000, test acc: 0.542139, test avg acc: 0.443000
Train 16, loss: 2.404359, train acc: 0.535423, train avg acc: 0.394289
Test 16, loss: 2.271179, test acc: 0.602107, test avg acc: 0.492023
Train 17, loss: 2.368923, train acc: 0.554967, train avg acc: 0.418905
Test 17, loss: 2.217142, test acc: 0.590357, test avg acc: 0.470070
Train 18, loss: 2.340228, train acc: 0.565859, train avg acc: 0.426060
Test 18, loss: 2.249514, test acc: 0.608590, test avg acc: 0.508291
Train 19, loss: 2.321609, train acc: 0.572374, train avg acc: 0.437792
Test 19, loss: 2.132044, test acc: 0.670989, test avg acc: 0.600023
Train 20, loss: 2.276908, train acc: 0.591612, train avg acc: 0.461518
Test 20, loss: 2.328121, test acc: 0.564425, test avg acc: 0.483953
Train 21, loss: 2.260490, train acc: 0.605863, train avg acc: 0.468046
Test 21, loss: 2.077862, test acc: 0.645867, test avg acc: 0.557942
Train 22, loss: 2.245066, train acc: 0.609731, train avg acc: 0.481181
Test 22, loss: 2.039092, test acc: 0.697731, test avg acc: 0.620291
Train 23, loss: 2.205627, train acc: 0.630497, train avg acc: 0.501555
Test 23, loss: 2.015147, test acc: 0.702998, test avg acc: 0.625203
Train 24, loss: 2.180731, train acc: 0.639353, train avg acc: 0.515382
Test 24, loss: 2.029658, test acc: 0.695705, test avg acc: 0.607884
Train 25, loss: 2.170829, train acc: 0.645358, train avg acc: 0.518473
Test 25, loss: 1.997096, test acc: 0.706240, test avg acc: 0.610884
Train 26, loss: 2.158472, train acc: 0.647598, train avg acc: 0.526025
Test 26, loss: 2.016936, test acc: 0.692869, test avg acc: 0.601488
Train 27, loss: 2.124464, train acc: 0.665818, train avg acc: 0.543083
Test 27, loss: 2.011474, test acc: 0.715154, test avg acc: 0.618558
Train 28, loss: 2.121921, train acc: 0.669686, train avg acc: 0.547164
Test 28, loss: 2.338785, test acc: 0.551053, test avg acc: 0.441099
Train 29, loss: 2.092873, train acc: 0.681698, train avg acc: 0.570253
Test 29, loss: 2.005563, test acc: 0.711912, test avg acc: 0.613145
