Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='dgcnn_vnn_airplane', k=40, lr=0.001, model='eqcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, pooling='mean', rot='aligned', scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 0, loss: 1.307114, train acc: 0.436406, train avg acc: 0.250464, train iou: 0.162672
Test 0, loss: 1.286615, test acc: 0.490711, test avg acc: 0.254863, test iou: 0.222310
Train 1, loss: 1.275807, train acc: 0.466911, train avg acc: 0.292300, train iou: 0.203227
Test 1, loss: 1.317017, test acc: 0.383231, test avg acc: 0.262195, test iou: 0.202875
Train 2, loss: 1.205410, train acc: 0.521440, train avg acc: 0.412044, train iou: 0.318925
Test 2, loss: 1.274455, test acc: 0.514449, test avg acc: 0.334368, test iou: 0.295805
Train 3, loss: 1.147739, train acc: 0.583430, train avg acc: 0.487493, train iou: 0.390757
Test 3, loss: 1.196669, test acc: 0.551895, test avg acc: 0.367386, test iou: 0.341659
Train 4, loss: 1.062351, train acc: 0.709164, train avg acc: 0.578259, train iou: 0.492429
Test 4, loss: 1.068340, test acc: 0.700317, test avg acc: 0.511875, test iou: 0.484337
Train 5, loss: 0.967727, train acc: 0.798412, train avg acc: 0.717458, train iou: 0.597333
Test 5, loss: 1.028672, test acc: 0.743007, test avg acc: 0.666356, test iou: 0.483484
Train 6, loss: 0.916359, train acc: 0.842467, train avg acc: 0.802957, train iou: 0.673756
Test 6, loss: 0.978059, test acc: 0.791554, test avg acc: 0.754059, test iou: 0.569631
Train 7, loss: 0.896231, train acc: 0.858507, train avg acc: 0.826674, train iou: 0.699058
Test 7, loss: 0.958478, test acc: 0.804584, test avg acc: 0.765677, test iou: 0.612626
Train 8, loss: 0.880304, train acc: 0.871303, train avg acc: 0.844001, train iou: 0.722229
Test 8, loss: 0.922467, test acc: 0.834513, test avg acc: 0.788754, test iou: 0.667143
Train 9, loss: 0.877611, train acc: 0.873384, train avg acc: 0.846762, train iou: 0.725261
Test 9, loss: 0.932849, test acc: 0.823516, test avg acc: 0.775813, test iou: 0.611641
Train 10, loss: 0.878684, train acc: 0.871158, train avg acc: 0.843308, train iou: 0.722328
Test 10, loss: 0.943989, test acc: 0.815335, test avg acc: 0.734811, test iou: 0.636177
Train 11, loss: 0.863043, train acc: 0.884419, train avg acc: 0.862199, train iou: 0.745463
Test 11, loss: 0.899283, test acc: 0.851999, test avg acc: 0.798237, test iou: 0.697684
Train 12, loss: 0.853308, train acc: 0.892521, train avg acc: 0.872706, train iou: 0.758493
Test 12, loss: 0.946297, test acc: 0.821850, test avg acc: 0.785951, test iou: 0.657660
Train 13, loss: 0.846727, train acc: 0.897667, train avg acc: 0.880461, train iou: 0.767924
Test 13, loss: 0.897592, test acc: 0.853299, test avg acc: 0.786388, test iou: 0.701526
Train 14, loss: 0.848055, train acc: 0.895699, train avg acc: 0.876587, train iou: 0.762955
Test 14, loss: 0.897210, test acc: 0.852148, test avg acc: 0.847498, test iou: 0.702865
Train 15, loss: 0.847247, train acc: 0.896607, train avg acc: 0.879171, train iou: 0.765148
Test 15, loss: 0.888257, test acc: 0.860130, test avg acc: 0.830324, test iou: 0.670979
Train 16, loss: 0.841023, train acc: 0.901180, train avg acc: 0.885729, train iou: 0.775608
Test 16, loss: 0.889092, test acc: 0.860085, test avg acc: 0.799457, test iou: 0.723370
Train 17, loss: 0.839916, train acc: 0.902192, train avg acc: 0.886715, train iou: 0.777633
Test 17, loss: 0.869371, test acc: 0.875324, test avg acc: 0.838987, test iou: 0.736036
Train 18, loss: 0.833162, train acc: 0.907365, train avg acc: 0.893852, train iou: 0.787707
Test 18, loss: 0.871291, test acc: 0.873403, test avg acc: 0.863755, test iou: 0.731998
Train 19, loss: 0.831454, train acc: 0.909099, train avg acc: 0.895977, train iou: 0.790639
